open,closed
57dbd84250d4205f008b46d9,562f36cc49904b58008b4772
57dbd844637e2560008b4752,56091d2daee3a861008b4786
57dbd847637e2560008b4756,562f9fc049904b57008b497b
57dbd845637e2561008b46be,571a4b2ca844b350008b4a2e
57dbd847637e2560008b4758,562f9fc049904b57008b497d
57dbd84750d42061008b46d3,56150dc2adc6b45f008b4666
57dbd84b50d42062008b46df,5731e431f0f02a4f008b4584
57dbd84750d4205f008b46e0,56659f704c2f4c58008b47a0
57dbd84b50d42062008b46e1,5731e431f0f02a4f008b4587
57dbd84b50d42062008b46e5,5731e431f0f02a4f008b458d
57dbd84b50d42062008b46e3,5731e431f0f02a4f008b458a
57dbd84b50d42062008b46e7,5731e431f0f02a4f008b4590
57dbd84b50d42062008b46e9,5731e431f0f02a4f008b4593
57dbd84b50d42062008b46eb,5731e431f0f02a4f008b4596
57dbd84b50d42062008b46ed,5731e431f0f02a4f008b4599
57dbd860637e255f008b4726,56091c58aee3a861008b4774
57dbd862637e255f008b472a,56091c54aee3a861008b4773
57dbd86150d42060008b46de,56091c26aee3a861008b4768
57dbd863637e2561008b46e5,56091c27aee3a861008b476c
57dbd86150d42062008b4713,56091c46b684f25e008b4770
57dbd863637e2561008b46e3,56091c27aee3a861008b476a
57dbd865637e2562008b4731,56091c57aee3a85f008b47e0
57dbd8d3637e2560008b4797,5655d35407124457008b4b9e
57dbd8e550d4205f008b4726,5630895e52704f57008b4771
57dbd8e750d42062008b4747,56091c23aee3a85f008b47da
57dbd8e7637e255f008b4761,56091c75b684f25e008b4780
57dbd8e850d42060008b4712,56091c23b684f25e008b4769
57dbd919637e2561008b473f,56571e37a83c885a008b470d
57dbd8e8637e255f008b476a,56091c75b684f25e008b4780
57dbd90650d42060008b4737,5731e668f0f02a4d008b458e
57dbd8e850d42062008b474b,56091c58aee3a861008b4774
57dbd91c50d42061008b4767,570c2dd35df7514d008b468a
57dbd91c50d42061008b4769,570c2dd35df7514d008b468c
57dbd91a50d42061008b4763,562ff9a152704f58008b4600
57eefdab83115800623af5a1,56091d17aee3a861008b4780
57eefdab83115800623af5a3,56091d17aee3a861008b477f
57eeffa483115800610fafc8,56091d3aaee3a861008b478a
57eefdab83115800610faf74,56091d17aee3a860008b483f
57eeffa483115800610fafca,56091d3aaee3a861008b4788
57eeffa48311580060579879,56091d1ab684f261008b4799
57eefdab83115800610faf76,56091d17aee3a860008b483d
57eeffa4831158006057987b,56091d1ab684f261008b4797
57eeffa983115800610fafd0,5666d782598cf057008b4612
57eeffbfde4d010061135d99,5638a8ff1a4f7c59008b4938